Muestra,Dato__1,Dato__2,Dato__3,Dato__4,Dato__5,Dato__6,Dato__7,Dato__8,Dato__9,Dato__10,Dato__11,Dato__12,Dato__13,Dato__14,Dato__15,Dato__16,Dato__17,Dato__18,Dato__19,Dato__20,Dato__21,Dato__22,Dato__23,Dato__24,Dato__25,Dato__26,Dato__27,Dato__28,Dato__29,Dato__30
Muestra__1,46,55,37,38,27,40,27,35,31,26,34,32,40,30,31,32,31,29,34,39,28,32,29,44,37,42,22,28,24,25
Muestra__2,28,NA,27,58,40,43,34,26,22,52,24,42,40,42,34,42,28,43,40,33,65,44,22,31,40,65,45,36,31,38
Muestra__3,24,34,31,31,32,44,27,40,27,26,52,35,27,58,35,33,40,47,53,40,31,46,31,36,49,26,35,32,23,30
Muestra__4,31,31,40,38,46,32,35,25,32,36,32,29,37,30,34,43,40,38,33,45,34,32,35,25,46,34,22,58,28,28
Muestra__5,28,50,39,42,27,44,31,34,34,33,47,58,43,40,29,22,46,55,25,35,46,22,45,33,37,33,60,38,44,29
Muestra__6,45,54,55,33,44,24,NA,34,65,27,27,58,29,40,27,43,32,22,28,27,48,28,55,35,33,30,26,46,31,40
Muestra__7,31,24,31,34,26,31,43,32,34,55,30,40,34,32,35,32,25,55,31,26,30,44,48,38,47,27,34,28,55,49
Muestra__8,65,37,31,24,35,35,32,29,25,33,46,31,52,27,49,27,34,40,54,47,19,34,45,37,42,36,22,27,50,26
Muestra__9,40,26,52,33,29,25,32,23,60,34,26,54,34,37,22,38,32,19,55,45,47,63,32,33,33,26,24,25,43,31
Muestra__10,30,35,37,40,35,27,24,43,60,36,19,26,34,33,31,31,34,27,31,31,30,63,31,35,55,50,32,39,28,32
Muestra__11,50,40,58,34,19,31,23,27,25,36,38,27,26,43,27,35,27,42,40,35,32,24,45,31,27,31,29,33,32,28
Muestra__12,31,42,30,58,30,65,42,43,32,32,42,22,25,48,65,22,24,40,25,29,31,27,32,23,35,55,24,35,36,35
Muestra__13,31,32,31,48,33,24,55,60,63,36,44,35,35,44,22,28,40,50,40,40,34,32,46,58,40,27,40,29,30,34
Muestra__14,58,31,32,35,25,37,36,60,42,31,55,48,31,42,28,35,35,63,24,24,27,50,29,28,34,28,34,52,27,45
Muestra__15,35,35,26,33,39,35,32,24,25,29,40,32,65,37,37,42,27,35,36,29,60,24,26,58,27,36,28,28,40,46
Muestra__16,34,27,42,34,39,31,34,34,26,29,46,30,36,65,52,52,25,58,33,27,25,32,27,31,35,63,27,46,33,58
Muestra__17,32,63,39,31,40,29,44,42,35,35,28,65,29,55,34,40,58,46,36,36,28,26,35,24,22,27,22,19,27,34
Muestra__18,40,34,58,29,35,46,27,24,35,31,52,37,34,24,37,55,25,36,31,46,30,26,35,46,35,48,31,34,53,24
Muestra__19,32,42,22,46,33,45,30,27,35,26,36,42,40,31,44,43,24,44,33,34,46,22,28,29,37,31,33,50,34,55
Muestra__20,32,36,24,24,38,39,40,34,NA,32,32,33,23,29,22,33,34,35,37,26,44,40,48,35,54,35,25,NA,28,33
Muestra__21,31,38,42,34,36,31,26,55,54,46,31,25,50,45,37,52,35,30,34,25,22,31,28,45,29,36,46,27,34,38
Muestra__22,32,25,40,31,33,33,55,31,38,26,27,26,60,37,34,54,29,31,35,26,50,48,35,55,22,25,40,46,35,30
